,Unnamed: 0.1,Unnamed: 0,PET,text,label,category,source,bibliography,country,euph_status
0,1528,1528,Alma libre,"Es difícil explicar con exactitud un personaje tan multidimensional y de tanto bagaje emocional. Es luchadora, sufridora, excéntrica, un [PET_BOUNDARY]Alma libre[PET_BOUNDARY]. A partir de ese momento dará rienda suelta a su apetito sexual, mermado durante los años de un aburrido matrimonio.",1,Sexual Activity,REA (Corpes Siglo XXI),"Funes VO: «Se cumplen diez años de la inmortal 'A dos metros bajo tierra'». NÚMERO DE SERIE. www.blogs.antena3.com/numero-de-serie: blogs.antena3.com/numero-de-serie, 2011-06-21.",España,always_euph
1,509,509,Hombre libre,"Cuando educan a alguien, y luego de educado lo mandan a la colonia de donde llegó, le dicen: ""Bueno, ahora volvé a ser esclavo. Yo te eduqué para ser un [PET_BOUNDARY]Hombre libre[PET_BOUNDARY], para que sepas que toda la gente es igual y que la democracia es el mejor invento del ser humano después de la rueda. Y ahora te mando de nuevo a un lugar en donde vas a ser el palo de la rueda. Y si te sublevás, te corto la cabeza"".",0,Politics,REA (Corpes Siglo XXI),"Pinti, Enrique: Que no se vaya nadie sin devolver la guita. Buenos Aires: Editorial Sudamericana, 2003",Argentina,sometimes_euph
2,792,792,Planificación familiar,"Para despedirse, la Bene y Jeny se acercaron a nuestra mesa empujando a otras chicas, entre ellas Elisa, que llamó la atención del Maxicho por el voluminoso trasero que ostentaba, encajado en unos jeans, que seguramente necesitaron de vaselina para almacenar tantos kilos de carne, también quería conocer a la Maricucha y recibir los llaveros de condón, que les obsequiamos bajo solemne promesa de que, una vez en el Parlamento, me preocuparía por mejorar sus controles sanitarios, les daríamos clases de educación sexual, prevención del SIDA y [PET_BOUNDARY]Planificación familiar[PET_BOUNDARY], todo gratis por consideración a que se trataba de la profesión más antigua del mundo y también la más sacrificada, a la cual los caballeros debían muchas horas de esparcimiento y buen vivir.",1,Sexual Activity,REA (Corpes Siglo XXI),"Pedraza Pérez del Castillo, Pilar: Mujer escorpión. Novela inédita. La Paz: s. n., 2001",Bolivia,always_euph
3,1361,1361,Interno,"Despreciaba a los servidores y no entendía por qué los trapecistas estaban en la cúspide del circo. Se había encandilado con el escaso poder que poseía. Era una visión distinta del personaje que alguna vez había sido importante para mi. Ahora, afirmado contra las rejas, a lo mejor obsesionado con dominar totalmente al animal [PET_BOUNDARY]Interno[PET_BOUNDARY], parecía alguien empequeñecido, ciego en su empeño, sin altura de miras. En su momento había sido buen maestro. Sentía el peso y el cariño por aquellos tiempos de ilusiones e inocencia. Mi consabida nostalgia. Mi conocida y casi querida pena por lo que iba quedando en el pasado.",0,Bodily functions/parts,REA (Corpes Siglo XXI),"Chambeaux, Juan: El circo, el loco y lo demás. Santiago de Chile: RIL editores, 2001",Chile,sometimes_euph
4,1182,1182,Falta un tornillo,Ya le he dicho: a ti te [PET_BOUNDARY]Falta un tornillo[PET_BOUNDARY]. Y con lo que está jarreando. Pero le ha entrado la fiebre abertzale. No hay quien la pare.,1,Physical/Mental Attributes,REA (Corpes Siglo XXI),"Aramburu, Fernando: Patria. Barcelona: Tusquets, 2016.",España,sometimes_euph
5,2692,2692,Escapada,"Yo mañana voy a ir a pasar unos días a Piriápolis, antes cada vez que venía me hacía una  [PET_BOUNDARY]Escapada[PET_BOUNDARY]... Y me gustaría invitarlos a que me acompañaran. ¿Qué te parece Marta?",1,Politics,REA (Corpes Siglo XXI),"Delgado, Gonzalo; Stoll, Pablo; Rebella, Juan P.: Whisky. Montevideo: Artefato, Lapzus, Control Z Films, 2005.",Uruguay,always_euph
6,1047,1047,Reajuste,El responsable de la unidad sismológica de Alicante explicó lo sucedido ayer como un [PET_BOUNDARY]Reajuste[PET_BOUNDARY] producido por la tensión entre dos grandes placas tectónicas,0,Employment/Finances,REA (Corpes Siglo XXI),"Prats, Jaime: «Dos terremotos sacuden Valencia y derriban una estatua de San José de 200 kilos». El País. Madrid: elpais.com, 2003-09-17.",España,sometimes_euph
7,966,966,Dejar ir,"Te veo queridísima, te veo y me despido. Solamente un muerto sabe [PET_BOUNDARY]Dejar ir[PET_BOUNDARY] a otro muerto.",1,Death,REA (Corpes Siglo XXI),"Venegas Castaing, Jorge Arturo: Las aventuras de Liu Yuan, capitán de ultramar. San José: Editores Alambique, 2004.",Costa Rica,sometimes_euph
8,1051,1051,Reajuste,"En el anterior capítulo intentábamos establecer como la respiración es el motor primario de la interpretación, y como a cualquier aleteo del sentimiento se corresponde un [PET_BOUNDARY]Reajuste[PET_BOUNDARY] físico y viceversa como la variación física motiva [PET_BOUNDARY]Reajuste[PET_BOUNDARY]s emocionales. ",0,Physical/Mental Attributes,REA (Corpes Siglo XXI),"«José Rico». La Ratonera. El Entrego: Oris Teatro, 2001-09-03.",España,sometimes_euph
9,2902,2902,Pacificar,"El ex secretario general y ahora presidente Emomalí Rajmonov, era el hombre de Moscú, pero su excesivo nepotismo, favoreció a su clan sureño de Kuliab, en detrimento de una visión más nacional o de Estado que impidió [PET_BOUNDARY]Pacificar[PET_BOUNDARY] el país sumergido en una guerra civil de años. Como consecuencia se acentuaron las diferencias entre clanes, lo cual llevó a decir a un estadista ruso:",0,Physical/Mental Attributes,REA (Corpes Siglo XXI),"Romea Rodríguez, Antonio: «Capítulo sexto. Rusia y los países musulmanes». Influencia rusa en su entorno geopolítico. Madrid: Ministerio de Defensa. Secretaría General Técnica, 2002.",España,sometimes_euph
