,Unnamed: 0,PET,literal translation,euphemistic meanings,category,label,text,source,contains_boundary_tokens,euph_status
1122,1122,do,punch or touch,sex,Sexual Activity,0,Detroit je okan lara awon ilu pataki ti won ti n se kaa ni Michigan. awon ara ile Faranse ni o koko te Michigan [PET_BOUNDARY]do[PET_BOUNDARY] o ni nnkan bii 1600.,http://yo.wikipedia.org/wiki/Michigan,1,sometimes_euph
2221,2221,Ibasepo,relate with,sex,Sexual Activity,1,O ma n je ki ni igbadun taba barawa ni [PET_BOUNDARY]Ibasepo[PET_BOUNDARY],Iyanu,1,sometimes_euph
1609,1609,alo kí olóhun ó kígbe.,someone who uses something so that the owner can cry out,a thief,Social,1,"Ganzallo ni nibi ti wọn ti fẹẹ fi ankọọfun si afurasi yii lọwọ, o deyin mọ ika ọkan ninu awọn ẹṣọ So-Safe, o si ge e jẹ gidi, ṣugbọn ago lo papa de adiẹ ẹ kẹyin, wọn mu un, wọn si ti fa oun atawọn ẹru ofin rẹ le awọn ọlọpaa lọwọ ni ẹka ileeṣẹ ọlọpaa Onipaanu. Wọn lọkunrin yii jẹwọ pe oun ko ṣẹṣẹ maa huwa laabi ọhun, o ti pẹ toun ti n fina jo awọn olotẹẹli labẹ aṣọ kaakiri, o si ti gbowọ sidii iwa [PET_BOUNDARY]alọ-kolohun-kigbe[PET_BOUNDARY] naa, kọwọ palaba ẹ to segi yii.",https://alaroye.org/e-woju-awon-adigunjale-to-n-yo-won-lenu-lajegunle-faith-adebola-eko/,1,always_euph
2132,2132,Itura,relief,orgasm,Bodily Functions/Parts,0,"O ni lootọ ni ọkunrin kan ku si ile [PET_BOUNDARY]Itura[PET_BOUNDARY] kan niluu Ikere-Ekiti lọjọ Aje, ti wọn si ti gbe oku rẹ lọ si ibudo igboku pamọ si.",https://www.bbc.com/yoruba/articles/cgrzv7p45r3o,1,sometimes_euph
337,337,abẹ,beneath,vagina,Bodily Functions/Parts,1,"Ti o ba la ala wipe o nba ajoji eniyan lopo ti o nda omira ti o ji pada saye ti gbogbo [PET_BOUNDARY]abẹ[PET_BOUNDARY] re tutu, ibaa je okunrin tabi obinrin lo la ala be ala buburu ni Olorun o ni je ki a ri iku omo laye wa.",http://www.akedeoduduwaonline.com/asa.html,1,sometimes_euph
2055,2055,Oju abe,the eye beneath,vagina,Bodily Functions/Parts,1,Amọ o yẹ ki obinrin ti [PET_BOUNDARY]Oju abe[PET_BOUNDARY] ba n dun lasiko ibalopọ lọ ri dokita rẹ fun itọju.,https://www.bbc.com/yoruba/afrika-61328942,1,sometimes_euph
1994,1994,pa,kill,sex,Sexual Activity,0,Lege fe [PET_BOUNDARY]pa[PET_BOUNDARY] mi🤣🤣,facebook.com,1,sometimes_euph
1566,1566,Ó rẹ̀ mí,i am weak,under the weather,Physical/Mental Attributes,1,se ni [PET_BOUNDARY]o[PET_BOUNDARY] fe [PET_BOUNDARY] re mi [PET_BOUNDARY] díẹ̀,,1,always_euph
2164,2164,Abe,under,vagina,Bodily Functions/Parts,0,"Ni oruko Oluwa, ninu odun yi moko lati joko si [PET_BOUNDARY]Abe[PET_BOUNDARY] e igi-egun tinfi ogo awon omo ologo sofo ninu ile wa, loru oni yi mofa ara mi jade kuro labe isakoso igi-egun adugbo ati agbegbe WA tonfi inira kolu omo ologo, nipa agbara ajinde modi ominira patapata ni oruko nla JESU",facebook.com,1,sometimes_euph
1935,1935,Àkàrà tu sépo,bean cake scattered in hot palm oil,the secret has leaked,Social,1,"Yéèpà, [PET_BOUNDARY]Àkàrà tu sépo[PET_BOUNDARY] o.",https://jolan.com.ng/index.php/home/article/download/284/214,1,sometimes_euph
1604,1604,alonilowogba,those who twists people's hands in getting their things,a thief,Social,1,"Awọn ọlọpaa buruku yii n ba awọn ọlọpaa rere to wa laarin wọn lorukọ jẹ, debii pe bayii, ko si ẹni to ri ọlọpaa bii ọrẹ araalu, ṣaaṣa araalu ni wọn ka wọn si, bẹẹ ni wọn ko si ri wọn bii olugbeja tabi iranṣe ọba, wọn ri wọn bii ole [PET_BOUNDARY]alonilowogba[PET_BOUNDARY] wọgba to n ṣiṣe tara wọn funra wọn, ti wọn n jiṣẹ ti ko sẹni to ran wọn. Iyẹn lo ṣe jẹ pe ọrọ ti Gomina Sanwoolu sọ yii bọ si asiko, ki awọn ọlọpa gbọ, ki wọn yee daamu araalu, ki awọn ọga wọn si gbọ, ki wọn kilọ fun wọn daadaa.",https://alaroye.org/oro-ti-sanwoolu-so-fawon-agbofinro-yii-oro-gidi-ni-o/,1,always_euph
2059,2059,Oju abe,the eye beneath,vagina,Bodily Functions/Parts,1,"Awọn oloyinbo ti ni fifọ abẹ iyẹn ''douching'' ma n ṣe akoba [PET_BOUNDARY]Oju abe[PET_BOUNDARY] abẹ obinrin ni, ko ni nkan rere kan lati ṣe fun obinrin, aisan lo n fa.",https://www.bbc.com/yoruba/afrika-61328952,1,sometimes_euph
1725,1725,afofun gbe mu,has swallowed the lungs,insult,Social,1,Kai oponu [PET_BOUNDARY]afofun gbemu[PET_BOUNDARY] didirin ndin robo.,https://www.facebook.com/search/top?q=afofun%20gbemu,1,always_euph
1158,1158,ìbálòpọ̀,relate with,sex,Sexual Activity,1,Iṣẹ́ kan ti idọ̀ n ṣe ni pe ko fun obinrin ni adù [PET_BOUNDARY]ìbálòpọ̀[PET_BOUNDARY] pọ.,https://www.bbc.com/yoruba/awon-iroyin-miran-45042533,1,sometimes_euph
231,231,arákùnrin,your brother/a man,penis,Bodily Functions/Parts,0,"Ajọ to n gbogun ti iwa ibajẹ nilẹ yii, EFCC ti mu [PET_BOUNDARY]arákùnrin[PET_BOUNDARY] n ẹni ọdun marunlelọgọta kan, Musa Shuaib, fẹsun pe o n gbe ọpọlọpọ pasu igbo kiri lagbegbe Adewọle, niluu Ilọrin, ti i ṣe olu ilu ipinlẹ Kwara.",https://alaroye.org/efcc-ti-mu-shuaib-opolopo-igbo-ni-won-ba-lowo-e-nilorin/,1,sometimes_euph
1620,1620,alo kí olóhun ó kígbe.,someone who uses something so that the owner can cry out,a thief,Social,1,"Ki i ṣawọn nikan lo n ṣiṣẹẹbi ọhun, wọn ni wọn pọ, ṣugbọn bawọn ọlọpaa ṣe bọọlẹ lati wadii ohun to n ṣẹlẹ lawọn [PET_BOUNDARY]alọ-kolohun-kigbe[PET_BOUNDARY] ẹda naa bẹ danu lọkọọkan, wọn sa lọ, ẹni meji pere ni wọn ri mu. Wọn ni niṣe lawọn afurasi mejeeji yii n tu igbo ẹba ọna, nibi ti wọn n tọju awọn dukia ti wọn ja gba lọwọ awọn ero ọkọ ati onimọto si lọwọ ni wọn fi mu wọn.",https://alaroye.org/korede-n-jale-ni-magodo-yahaya-n-ja-tie-lori-biriiji-otedola-owo-ti-te-won/,1,always_euph
636,636,olóògbé,a doser,death,Death,1,"Gbenga Raheem, ọkọ [PET_BOUNDARY]olóògbé[PET_BOUNDARY] e Bolanle Raheem to padanu ẹmi rẹ lọjọ keresimesi lọdun 2022, farahan ni ileẹjọ lati sọ bi isẹlẹ naa ṣe sẹlẹ lọjọ naa.",https://www.bbc.com/yoruba/articles/cl4806ym043o,1,always_euph
1557,1557,akúra,one whose body is dead,impotence,Physical/Mental Attributes,1,"Ọ̀pọ̀ gbà pé kéèyàn tó lè rọ́wọ́ mú lẹ́nu iṣẹ́, ó gbọ́dọ̀ [PET_BOUNDARY]akúra[PET_BOUNDARY] ̣ bí akúra. Èyí ti mú kí àwọn kan tara bọ iṣẹ́ débi tí wọn kò fi ráyè ti ìdílé wọn mọ́, wọn ò sì mójú tó ìlera wọn.",,1,always_euph
1426,1426,alaarun opolo,sickness of the head,insanity,Physical/Mental Attributes,1,"Eleyi ti FIFA ni ki o ma gba boolu fun osu merin yen, o ye ki won ran lo si ile iwosan [PET_BOUNDARY]alarun opolo[PET_BOUNDARY]  ni, ki ni o wa se to to yen?",http://kollymoore.blogspot.com/2018/08/kayefi-nla-lo-je-nigba-ti-arákùnrin.html,1,always_euph
1527,1527,iyá,mother,Elders of the Night,Spirituality,0,[PET_BOUNDARY]iyá[PET_BOUNDARY] rere ni iya awon omo yen,,1,sometimes_euph
1713,1713,jedi,buttocks eater,Diarrhea,Bodily Functions/Parts,1,AGBO AKO [PET_BOUNDARY]jedi[PET_BOUNDARY] FUN OKURIN TI KOLESE DEDE,https://www.facebook.com/search/top?q=agbo%20jedi,1,always_euph
39,39,Àlejò,guest,menstruation,Bodily Functions/Parts,0,"1 MÁṢE leri ara rẹ niti ọjọ ọla, nitoriti iwọ kò mọ̀ ohun ti ọjọ kan yio hù jade. 2 Jẹ ki ẹlomiran ki o yìn ọ, ki o máṣe ẹnu [PET_BOUNDARY]Àlejò[PET_BOUNDARY] rẹ; alejo , ki o má si ṣe ète ara rẹ. 3 Okuta wuwo, yanrin si wuwo, ṣugbọn ibinu aṣiwère, o wuwo jù mejeji lọ. 4 Ibinu ni ìka, irunu si ni kikún-omi; ṣugbọn tani yio duro niwaju owú. 5 Ibawi nigbangba, o san jù ifẹ ti o farasin lọ. 6 Otitọ li ọgbẹ ọrẹ́: ṣugbọn ifẹnukonu ọta li ẹ̀tan. 7 Ọkàn ti o yó fi ẹsẹ tẹ afara-oyin; ṣugbọn ọkàn ti ebi npa, ohun kikoro gbogbo li o dùn. 8 Bi ẹiyẹ",http://gospelgo.com/f/yoruba_bible.htm,1,sometimes_euph
361,361,abẹ,beneath,vagina,Bodily Functions/Parts,0,"Sibẹ sibẹ lori iru ọrọ bayii, ani lati fii lẹ bẹẹ ki alejo wa sọ oju [PET_BOUNDARY]abẹ[PET_BOUNDARY] ẹ niko nipa awọn ọrọ kọọkan ti ko ṣee tẹnu bọlẹ sọ nipa ibalopọ.",https://www.bbc.com/yoruba/afrika-53626951,1,sometimes_euph
1671,1671,tura,get relieved,fart,Bodily Functions/Parts,0,"Lasiko ti awọn oṣisẹ ile i [PET_BOUNDARY]tura[PET_BOUNDARY] naa lọ ja ilẹkun yara ti wọn gba, wọn ba oku obinrin naa nibẹ ti wọn ti ge awọn ẹya ara rẹ kan lọ.",https://www.bbc.com/yoruba/media-61289300,1,sometimes_euph
902,902,dakẹ́,is quiet,death,Death,0,Awon ti o wa lehin Obasanjo ko [PET_BOUNDARY]dakẹ́[PET_BOUNDARY] sa o. Won ni o se pataki ki eto ijoba olori-jori ti Obasanjo gun le maa te siwaju.,http://afonrereyoruba.tripod.com/id1.html,1,sometimes_euph
423,423,àyà or igbaya,chest,breast,Bodily Functions/Parts,1,"Idanimọ ni ipele ibẹrẹ ti mastopathy - a le mu itọju [PET_BOUNDARY]igbaya[PET_BOUNDARY] ọmọ obinrin kan lara nipasẹ idaduro iṣuu mammary. Ti o ba ni awọn aami aisan naa, ṣawari kan dokita!",https://www.emergency-live.com/yo/ilera-ati-ailewu/iwosan-ak%C3%A0n-aw%E1%BB%8Dn-obirin-ko-funni-im%E1%BB%8D-im%E1%BB%8Dran/,1,sometimes_euph
2469,2469,Ba sun,sleep with,sex,Sexual Activity,1,"O [PET_BOUNDARY]ba mi sun[PET_BOUNDARY] ni ojo aje, mo nife bobo yen",Iyanu,1,always_euph
2058,2058,Oju abe,the eye beneath,vagina,Bodily Functions/Parts,1,Jẹ ki [PET_BOUNDARY]Oju abe[PET_BOUNDARY] rẹ sinmi lẹyin ibimọ;,https://www.bbc.com/yoruba/afrika-61328946,1,sometimes_euph
48,48,nǹkan oṣù,thing of the month,menstruation,Bodily Functions/Parts,1,"Awọn nkan mii ti wọn tun maa n sọ ni pe irora [PET_BOUNDARY]n[PET_BOUNDARY] ǹkan oṣù[PET_BOUNDARY] [PET_BOUNDARY] maa n dinku, ti obinrin ba ti lọ sile ọkọ.",bbc,1,always_euph
1505,1505,àgbà,elder,Elders of the Night,Spirituality,1,Awon [PET_BOUNDARY]àgbà[PET_BOUNDARY] ma ni awon iya yen,,1,sometimes_euph
1973,1973,pa,kill,sex,Sexual Activity,0,"Bakan naa ni wọn [PET_BOUNDARY]pa[PET_BOUNDARY] ọkan lara awọn ọmọbìnrin naa, Nabeeha, to wa ni ipele to kẹhin ninu ẹkọ rẹ ni fasiti, lọjọ Ẹti to kọja.",https://www.bbc.com/yoruba/articles/cermjjnd0edo,1,sometimes_euph
1050,1050,pa,kill,sex,Sexual Activity,0,Mo [PET_BOUNDARY]pa[PET_BOUNDARY] ayan yen,,1,sometimes_euph
96,96,epo,thing of the month,menstruation,Bodily Functions/Parts,0,"Táńkà [PET_BOUNDARY]epo[PET_BOUNDARY] bẹntiróòlù kan gbíná nígbà tó kọlu dúrọ̀ọ̀mù ní agbègbè Mile 2, Wharf Otto ní ìrọ̀lẹ́ òní, ọjọ́ Ìṣẹ́gun, ọjọ́ Kọkàndínlógún, oṣù Keje, ọdún 2022.",https://www.bbc.com/yoruba/articles/c1d502zp3y5o,1,sometimes_euph
